mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.025599241256713867,0.002577006973888851,0.8009000778198242,0.10780759418881831,manhattan,34,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'uniform'}",0.847927941858667,0.8341348384103913,0.8289624246172876,0.8283593629194371,0.8416344518323798,0.8362038039276326,0.007552493551803149,46,0.8414199010360289,0.8412478738209369,0.8486605071903509,0.8448894386887273,0.8423244935828048,0.8437084428637698,0.002797314124560021
0.03559918403625488,0.024318917552734357,0.7404014587402343,0.12851619017550628,manhattan,37,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 37, 'KNN__weights': 'uniform'}",0.8433585897634144,0.8364620380392764,0.8289624246172876,0.8312045770836554,0.833616823875058,0.8347208906757383,0.004987680739489166,47,0.8428637699087673,0.839825266738828,0.8474969073759082,0.8433373279727849,0.841763955466213,0.8430574454925003,0.0025276377189989885
0.032198333740234376,0.018426707679135342,0.8706012725830078,0.11823605974967664,manhattan,40,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'uniform'}",0.8393072522034947,0.8203417349621154,0.8162903974021956,0.8225838874284829,0.8255141487552188,0.8248074841503015,0.007850741536034333,48,0.8368080253595174,0.8219808257306324,0.8376913561156641,0.8361179836090922,0.831807638781506,0.8328811659192825,0.005813863092465055
0.052599430084228516,0.04088213062390446,0.6263001918792724,0.09604302194350184,manhattan,43,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 43, 'KNN__weights': 'uniform'}",0.8375831142724602,0.8203417349621153,0.8231869491263336,0.8208597494974484,0.8220658728931497,0.8248074841503015,0.006463541069237213,48,0.8369800525746093,0.8254503633833307,0.8359884799752588,0.8349756455852789,0.833962811195299,0.8334714705427555,0.00413491481450166
0.04460396766662598,0.02334565046650024,0.6392960548400879,0.09717328393201227,manhattan,46,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 46, 'KNN__weights': 'uniform'}",0.8329287150146901,0.8065486315138395,0.7995670326271841,0.8128421215401266,0.8145662594711612,0.8132905520334003,0.011146967675907438,51,0.8185750734498219,0.8169591773619916,0.8266139631977734,0.8211612803463739,0.827626797587753,0.8221872583887426,0.004257173812813577
0.0417994499206543,0.024315628058721336,0.7255002498626709,0.12004388976109383,manhattan,49,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 49, 'KNN__weights': 'uniform'}",0.8312045770836555,0.8054275552806556,0.8058605226534713,0.8156873357043449,0.8162903974021956,0.8148940776248645,0.009379035351367826,50,0.8170017009432501,0.8160971083964743,0.8314848461419515,0.8250405906912014,0.827346528529457,0.8233941549404669,0.0059649249476879575
0.06549949645996093,0.023571800936825423,0.5967008113861084,0.09417366563018181,euclidean,1,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.8959331993196228,0.9037807329519099,0.8962811195299211,0.8981753517859903,0.8936059996907376,0.8975552806556364,0.003434885706235786,2,0.9990084274006494,0.9995689655172414,0.9992886964589454,0.9995689655172414,0.9994394618834079,0.999374903355497,0.0002103446235406744
0.04309968948364258,0.017433622457433802,0.3593010425567627,0.1107010670013701,euclidean,4,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.8580949435596104,0.8843899798979433,0.8780114427091388,0.8844750270604609,0.8977501159734034,0.8805443018401113,0.012935756205614136,10,0.9203842585433738,0.9181633678676356,0.917776789856193,0.918120844286377,0.9102327199628883,0.9169355961032934,0.003476828004660828
0.040099573135375974,0.025327667889708243,0.48980097770690917,0.16823210674839523,euclidean,7,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.8870573681768982,0.8915416731096336,0.8897324880160817,0.8963661666924385,0.9036956857893921,0.8936786763568888,0.005857371246367168,4,0.9184822947270759,0.9137409154167311,0.9190215710530384,0.9208752126179062,0.9139573991031389,0.917215478583578,0.0028617518219774397
0.03879847526550293,0.029160996348333915,0.5814015388488769,0.1781390851135749,euclidean,10,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.8702489562393692,0.8793876604298749,0.883353950827277,0.8874903355497139,0.9062857584660584,0.8853533323024587,0.011920253280893007,7,0.9065660275243543,0.8970832689036647,0.8990006958404205,0.9035275243544146,0.8996694758002163,0.901169398484614,0.003415665580258198
