mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2812491416931152,0.04307506588373647,0.0,0.0,relu,0.0001,"(28, 28, 28)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (28, 28, 28), 'MLP__learning_rate_init': 0.064}",0.9196458945415186,0.9018865006958405,0.9363692593165299,0.9278336168238749,0.9374052883871964,0.924628111952992,0.013064374561584973,963,0.939023117365084,0.9319758002164835,0.9471470542755528,0.9374903355497141,0.9438070202566876,0.9398886655327046,0.005237409831886418
0.40249037742614746,0.08735165039924246,0.0031251907348632812,0.0062503814697265625,relu,0.0001,"(28, 28, 28)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (28, 28, 28), 'MLP__learning_rate_init': 0.128}",0.9323179217566104,0.9264573991031391,0.9298128962424616,0.9196458945415185,0.9346451213854956,0.928575846605845,0.005226880107314936,640,0.9392589299520641,0.9583133601360754,0.950958713468378,0.9295403587443944,0.9544127880006184,0.9464968300603062,0.010602926899265171
0.6274904727935791,0.025035424674289215,0.0031256675720214844,0.006251335144042969,relu,0.0001,"(114, 114, 114)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (114, 114, 114), 'MLP__learning_rate_init': 1e-06}",0.5046543992577702,0.5098268130508736,0.5115509509819081,0.514999226843977,0.5074996134219885,0.5097062007113035,0.0035163475917435894,2966,0.5109691510746867,0.5096760476264109,0.508663213236431,0.5090942477191897,0.5125425235812585,0.5101890366475954,0.0014097756475377028
1.7931173324584961,0.5295072126241452,0.009374666213989257,0.007654383202665273,relu,0.0001,"(114, 114, 114)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (114, 114, 114), 'MLP__learning_rate_init': 0.001}",0.9327508891294264,0.9304236895005412,0.9248183083346219,0.9132673573527137,0.934993041595794,0.9272506571826193,0.007768065357758227,781,0.9589396165146123,0.9594788928405752,0.9489813669398485,0.9089357507344981,0.9524083810112879,0.9457488016081644,0.018828240460668392
1.5870158672332764,0.13609989407369139,0.010973119735717773,0.006229888064524729,relu,0.0001,"(114, 114, 114)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (114, 114, 114), 'MLP__learning_rate_init': 0.002}",0.9384413174578631,0.9274934281738056,0.9286995515695067,0.924130199474254,0.9436137312509665,0.9324756455852792,0.007326309307293757,281,0.9579248492345753,0.9549095407453223,0.9643072522034947,0.9514187413019946,0.9584660584505952,0.9574052883871964,0.004268484120112937
1.3697454452514648,0.3917385981511782,0.00625004768371582,0.007654713953888613,relu,0.0001,"(114, 114, 114)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (114, 114, 114), 'MLP__learning_rate_init': 0.004}",0.9396474408535643,0.9383562702953456,0.9280114427091387,0.9326658419669088,0.9390443791557136,0.9355450749961343,0.004517144064827016,89,0.9621501468996441,0.9708384877068192,0.9606869491263338,0.9365238905211073,0.9572367403742073,0.9574872429256225,0.01139966162667479
1.2024219512939454,0.44344158231265257,0.006250572204589844,0.007655356323602299,relu,0.0001,"(114, 114, 114)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (114, 114, 114), 'MLP__learning_rate_init': 0.008}",0.9217179526828514,0.90964898716561,0.9372351940621617,0.9286995515695067,0.9314597185712076,0.9257522808102676,0.009473229830628248,906,0.9354685325498684,0.9384432503479203,0.9570221895778567,0.9544572444719345,0.9613769908767588,0.9493536415648677,0.010404299196020332
1.2815226078033448,0.29024283229781,0.012499332427978516,0.006249666218536974,relu,0.0001,"(114, 114, 114)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (114, 114, 114), 'MLP__learning_rate_init': 0.016}",0.9356811504561623,0.9338719653626104,0.9183547239832998,0.9396474408535641,0.9403355497139322,0.9335781660739138,0.007984489719820376,189,0.9620419050564402,0.9630122158651615,0.9383350085047163,0.9659444100819544,0.9618273542600895,0.9582321787536724,0.010056480022234752
1.254147720336914,0.16374838835627306,0.004414558410644531,0.008829116821289062,relu,0.0001,"(114, 114, 114)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (114, 114, 114), 'MLP__learning_rate_init': 0.032}",0.9350780887583116,0.9294727075923923,0.9331838565022421,0.9293026132673574,0.9333539508272769,0.9320782433895162,0.002295291764617371,315,0.9518265811040666,0.9668915262099892,0.9542852172568423,0.9491533941549405,0.9526886500695839,0.9549690737590846,0.006188865060869816
1.3893721103668213,0.2362673141035693,0.009374713897705078,0.007654421868415735,relu,0.0001,"(114, 114, 114)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 0.0001, 'MLP__hidden_layer_sizes': (114, 114, 114), 'MLP__learning_rate_init': 0.064}",0.9299907221277255,0.9161976186794497,0.9319777331065409,0.9294727075923922,0.9367094479665995,0.9288696458945417,0.006831156149854728,605,0.9469537652698312,0.9559861605071902,0.9454905674965208,0.9504020411319005,0.951304700788619,0.9500274470388124,0.003669026019870384
