mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3289999485015869,0.0915069813111434,0.003799629211425781,0.0003999237367785481,relu,10.0,"(60,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (60,), 'MLP__learning_rate_init': 0.004}",0.9054501169344843,0.9219138135867805,0.9263617381286676,0.9114681211073911,0.9159160456492781,0.9162199369550205,0.007402636843622883,2548,0.924692641393959,0.9192124963231029,0.9149594394384669,0.9213390247654207,0.9261321470111211,0.9212671497864141,0.003985377458918331
0.33720107078552247,0.016917623150204848,0.003598642349243164,0.0007999916969656848,relu,10.0,"(60,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (60,), 'MLP__learning_rate_init': 0.008}",0.9005410240658712,0.9341937574252079,0.9341685567195881,0.9190823343053606,0.9171724808294632,0.9210277688887358,0.012526978147859186,2131,0.9273144148036144,0.9209902255253578,0.9181519307420989,0.922542280944632,0.9245372506793826,0.9227072205390172,0.0031080923855966312
0.3601994514465332,0.09348006034392023,0.0032001018524169924,0.0004012350907431582,relu,10.0,"(60,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (60,), 'MLP__learning_rate_init': 0.016}",0.9109573539396681,0.9259009252259063,0.9305918565719841,0.915840443532419,0.9120459372862441,0.919065774862437,0.007810271250018573,2375,0.9224079274219679,0.9164170424523083,0.9168457889069697,0.919778198765642,0.9149391996373029,0.9180776314368382,0.002674626647324627
0.30280051231384275,0.05156624798757953,0.0036006927490234374,0.0004911285602173748,relu,10.0,"(60,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (60,), 'MLP__learning_rate_init': 0.032}",0.9067757336695873,0.923028044785254,0.9275929726032328,0.9062659754473127,0.9082514310400692,0.9143813978306442,0.00906167798505986,2638,0.9215704539727112,0.9163887067306784,0.9151736440007878,0.9168484875471251,0.9207615157722024,0.9181485616047009,0.0025367023216209296
0.328400182723999,0.07422569036822559,0.004000282287597657,0.0006327874617998221,relu,10.0,"(60,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (60,), 'MLP__learning_rate_init': 0.064}",0.8980191190576265,0.9195431472081219,0.9296954314720812,0.9137631853691903,0.909533066925874,0.9141077572755292,0.010512370408706458,2654,0.9210718400115203,0.9051441478638914,0.9194152316647639,0.9192381334045775,0.9216018048505358,0.9172942315590579,0.006143735718836528
0.2231983184814453,0.03158990209501218,0.00340118408203125,0.000490062684463552,relu,10.0,"(60,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (60,), 'MLP__learning_rate_init': 0.128}",0.8989298069772705,0.9072632033696943,0.918261511322317,0.9063667782697915,0.9080588256471182,0.9077743579068839,0.006173617343816266,2740,0.9127646074090076,0.9049356779119003,0.9004910175762432,0.9143363908926292,0.9135959515000392,0.9092247290579639,0.005521613660330723
0.10740103721618652,0.006681703812646761,0.010002326965332032,0.006575822119465392,relu,10.0,"(30, 30)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30, 30), 'MLP__learning_rate_init': 1e-06}",0.5,0.498936170212766,0.5,0.5,0.5,0.49978727414167823,0.00042550183759754303,3298,0.49973404255319154,0.5,0.49973418394471025,0.49973418394471025,0.49973418394471036,0.4997873188774645,0.00010634057536743111
0.44919662475585936,0.0610116174515192,0.013600826263427734,0.00877690719054883,relu,10.0,"(30, 30)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30, 30), 'MLP__learning_rate_init': 0.001}",0.8988651427462899,0.9252979083414336,0.9269899557187601,0.9154804334521367,0.9140313928790006,0.9161297122317682,0.01005063476774721,2552,0.9241062749756993,0.9174489349816628,0.9153281411496745,0.9188751663036996,0.9215275922462671,0.9194572219314008,0.003076408320676196
0.2756002902984619,0.04257580761791678,0.013601112365722656,0.0051211754087267325,relu,10.0,"(30, 30)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30, 30), 'MLP__learning_rate_init': 0.002}",0.8990806901828919,0.9272077618173309,0.9250801022428627,0.9133527738776687,0.9117111279115815,0.9152834369657918,0.010171842965790162,2596,0.9266987975663318,0.9212246698888431,0.910809268209749,0.9150565904840552,0.9155767533739749,0.9178732159045907,0.00551778237023192
0.2295976161956787,0.03859430978749425,0.0186002254486084,0.002799136709870867,relu,10.0,"(30, 30)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (30, 30), 'MLP__learning_rate_init': 0.004}",0.9043885458092189,0.9291176152932282,0.9218886128811606,0.9182363106166973,0.9165946646506101,0.9180425760461799,0.008076252274758812,2489,0.926493591820571,0.9220163834443824,0.9151109006171789,0.9239084675232151,0.9220649589671764,0.9219188604745048,0.0037753377601251422
